Country,City,CO AQI Value,CO AQI Category
Belgium,Hasselt,1,Good
Germany,Hauzenberg,1,Good
Germany,Heilbad Heiligenstadt,1,Good
Germany,Helmstedt,1,Good
Afghanistan,Herat,1,Good
United States of America,Hermosa Beach,3,Good
El Salvador,Ilopango,4,Good
Japan,Imaichi,1,Good
United States of America,Imperial Beach,2,Good
Japan,Inazawa,1,Good
Germany,Isselburg,1,Good
Brazil,Itaocara,2,Good
Brazil,Itaquaquecetuba,7,Good
Mexico,Jamay,1,Good
Brazil,Januaria,0,Good
China,Jilin,3,Good
Russian Federation,Shelekhov,1,Good
India,Shikohabad,4,Good
Japan,Shiozawa,1,Good
Russian Federation,Shipunovo,1,Good
Kenya,Siaya,3,Good
India,Sidhi,3,Good
Poland,Siedlce,1,Good
Indonesia,Sijunjung,1,Good
Bulgaria,Silistra,1,Good
Turkey,Silivri,1,Good
Romania,Sinaia,1,Good
Australia,Singleton,0,Good
Colombia,Sitionuevo,2,Good
United Kingdom of Great Britain and Northern Ireland,Sleaford,1,Good
Indonesia,Sleman,1,Good
Russian Federation,Snezhnogorsk,1,Good
Portugal,Sobreda,1,Good
Pakistan,Sodhra,3,Good
Malaysia,Kampar,1,Good
India,Kanakapura,1,Good
Czechia,Karvina,1,Good
Russian Federation,Kashira,1,Good
Russian Federation,Kaspiyskiy,1,Good
United Republic of Tanzania,Katerero,1,Good
India,Katihar,2,Good
Namibia,Katima Mulilo,0,Good
Japan,Katsuura,1,Good
United States of America,Kearney,1,Good
Sri Lanka,Kegalla,1,Good
United Kingdom of Great Britain and Northern Ireland,Kenilworth,1,Good
Russian Federation,Kez,1,Good
Russian Federation,Kanevskaya,1,Good
India,Kanigiri,1,Good
Russian Federation,Karachev,1,Good
India,Karamsad,1,Good
Zimbabwe,Kariba,2,Good
India,Karsiyang,2,Good
Russian Federation,Kartaly,1,Good
Sudan,Khartoum,2,Good
India,Khonsa,1,Good
Pakistan,Khurianwala,3,Good
Greece,Kiato,1,Good
United Republic of Tanzania,Kibakwe,0,Good
United Republic of Tanzania,Kibiti,0,Good
United States of America,Kingman,1,Good
Russian Federation,Kislovodsk,1,Good
Malaysia,Kluang,1,Good
Japan,Kobayashi,0,Good
Uzbekistan,Koson,1,Good
Russian Federation,Kostroma,1,Good
Turkey,Susehri,0,Good
Czechia,Tabor,1,Good
Iran (Islamic Republic of),Tabriz,1,Good
India,Tadpatri,2,Good
Philippines,Tagoloan,1,Good
Philippines,Tagum,2,Good
Indonesia,Talang,7,Good
India,Talipparamba,1,Good
Russian Federation,Talnakh,1,Good
Latvia,Talsi,1,Good
Sudan,Tambul,1,Good
Brazil,Tangua,1,Good
Italy,Taormina,1,Good
Mexico,Tapachula,2,Good
Brazil,Tapaua,1,Good
Russian Federation,Tara,1,Good
Russian Federation,Tarko Sale,1,Good
Romania,Tarnaveni,1,Good
Turkey,Tarsus,1,Good
United States of America,Napa,1,Good
India,Navalgund,1,Good
Republic of North Macedonia,Negotino Polosko,1,Good
Russian Federation,Nerchinsk,8,Good
Germany,Nettetal,1,Good
Germany,Neutraubling,1,Good
United States of America,New City,1,Good
Chad,Ngama,1,Good
Mali,Nioro,1,Good
Japan,Nishiwaki,2,Good
Russian Federation,Nizhneudinsk,1,Good
United Republic of Tanzania,Nkoaranga,1,Good
South Africa,Nkowakowa,1,Good
Russian Federation,Novozybkov,1,Good
Ecuador,Nueva Loja,1,Good
Nigeria,Numan,2,Good
India,Nurpur,5,Good
Japan,Oga,2,Good
Netherlands,Oirschot,1,Good
Ghana,Madina,1,Good
Niger,Magaria,1,Good
India,Mahasamund,2,Good
United Kingdom of Great Britain and Northern Ireland,Maidstone,0,Good
Spain,Mairena Del Alcor,1,Good
India,Maksi,2,Good
United Republic of Tanzania,Makungu,0,Good
United States of America,Manassas Park,1,Good
India,Mandi,3,Good
India,Manglaur,7,Good
India,Manjhanpur,5,Good
India,Mannargudi,1,Good
Pakistan,Mansehra,5,Good
Ecuador,Manta,1,Good
Philippines,Mapandan,2,Good
United States of America,Maple Grove,1,Good
Brazil,Maracanau,0,Good
Portugal,Vila Do Conde,0,Good
Spain,Viladecans,1,Good
Dominican Republic,Villa Altagracia,1,Good
Spain,Villafranca De Los Barros,1,Good
Spain,Villarrobledo,1,Good
France,Vitrolles,1,Good
Austria,Volkermarkt,1,Good
Germany,Volklingen,1,Good
Russian Federation,Volodarsk,1,Good
Estonia,Voru,1,Good
Brazil,Votorantim,1,Good
Russian Federation,Vsevolozhsk,1,Good
India,Vyara,1,Good
Russian Federation,Vysokovsk,1,Good
Libya,Waddan,1,Good
United States of America,Walnut,3,Good
China,Wangou,2,Good
Netherlands,Wateringen,1,Good
United States of America,Weirton,1,Good
Japan,Susaki,1,Good
Hungary,Szazhalombatta,1,Good
Portugal,Lamego,0,Good
China,Langfang,4,Good
Germany,Langwedel,1,Good
Panama,Las Lomas,1,Good
Italy,Latisana,1,Good
Germany,Lauchhammer,1,Good
Canada,Leamington,2,Good
Indonesia,Lebaksiu,2,Good
Chile,Lebu,0,Good
Poland,Legionowo,1,Good
Brazil,Leticia,1,Good
Ukraine,Letychiv,1,Good
Germany,Leutkirch,1,Good
United States of America,Lewisburg,2,Good
United Kingdom of Great Britain and Northern Ireland,Leyland,1,Good
Pakistan,Liaqatabad,3,Good
Brazil,Limeira,2,Good
Brazil,Limoeiro,1,Good
United States of America,Lincolnton,3,Good
France,Lisieux,2,Good
United States of America,Lockport,2,Good
Germany,Lohr,1,Good
United States of America,Longmont,2,Good
United States of America,Longwood,1,Good
Germany,Loningen,1,Good
Romania,Ludus,1,Good
Russian Federation,Luga,1,Good
Philippines,Ma Ao,1,Good
Chile,Machali,4,Good
Poland,Kozienice,1,Good
Russian Federation,Krasnoslobodsk,1,Good
Russian Federation,Krasnozerskoye,1,Good
Malaysia,Kuala Lumpur,2,Good
Russian Federation,Kukmor,1,Good
Tajikistan,Kulob,1,Good
Turkey,Kumburgaz,1,Good
United States of America,Kuna,1,Good
India,Kurandvad,1,Good
Finland,Kurikka,1,Good
Thailand,Kut Chap,1,Good
Guatemala,La Esperanza,3,Good
United States of America,La Marque,2,Good
Ecuador,La Troncal,2,Good
Madagascar,Mahanoro,2,Good
Mauritius,Mahebourg,0,Good
Ukraine,Makariv,1,Good
Indonesia,Manado,0,Good
India,Manapparai,1,Good
Brazil,Manhumirim,1,Good
Cameroon,Manjo,3,Good
United States of America,Mankato,1,Good
Philippines,Mansalay,0,Good
India,Manthani,1,Good
United Republic of Tanzania,Manyoni,0,Good
Trinidad and Tobago,Marabella,1,Good
Italy,Maranello,1,Good
South Africa,Margate,1,Good
Spain,Arrecife,0,Good
Brazil,Arroio Do Meio,2,Good
Ukraine,Artemovsk,1,Good
Bolivia (Plurinational State of),Ascension,1,Good
Eritrea,Asmara,1,Good
Netherlands,Asten,1,Good
Brazil,Astolfo Dutra,2,Good
United States of America,Austin,1,Good
Spain,Aviles,1,Good
United States of America,Avondale,1,Good
Libya,Awbari,1,Good
Russian Federation,Azov,1,Good
Viet Nam,Bac Ninh,3,Good
Germany,Backnang,1,Good
Germany,Bad Homburg,1,Good
Germany,Bad Nauheim,1,Good
Germany,Bad Wurzach,1,Good
India,Baghpat,4,Good
United States of America,Altadena,4,Good
Germany,Altusried,1,Good
Germany,Alzey,1,Good
France,Amberieu En Bugey,2,Good
Madagascar,Ambodifototra,0,Good
Brazil,Americo Brasiliense,1,Good
Brazil,Ananindeua,1,Good
Brazil,Andira,1,Good
Russian Federation,Anna,1,Good
Mexico,Apaxco,1,Good
Brazil,Araxa,1,Good
Chile,Arica,1,Good
Mexico,Yautepec,2,Good
China,Yebaishou,4,Good
United States of America,Ypsilanti,1,Good
China,Yulin,5,Good
China,Yuzhou,6,Good
Kazakhstan,Zachagansk,1,Good
India,Zamania,4,Good
Unknown,Zanzibar,1,Good
Russian Federation,Zelenogradsk,1,Good
Kazakhstan,Zhetysay,1,Good
Russian Federation,Zhirnovsk,1,Good
Ethiopia,Debre Birhan,1,Good
United States of America,Dedham,1,Good
Romania,Deleni,1,Good
Germany,Delmenhorst,1,Good
Pakistan,Dera Ghazi Khan,3,Good
United States of America,Des Moines,2,Good
Thailand,Det Udom,1,Good
India,Devli,1,Good
India,Dhanera,0,Good
India,Dhone,1,Good
China,Didao,2,Good
France,Dinan,1,Good
United States of America,Dix Hills,2,Good
Egypt,Diyarb Najm,2,Good
Netherlands,Doetinchem,1,Good
France,Dole,1,Good
Unknown,Domoni,0,Good
Brazil,Umuarama,0,Good
Brazil,Urucuca,1,Good
Russian Federation,Ust Ordynskiy,1,Good
Brazil,Utinga,0,Good
Russian Federation,Uzlovaya,0,Good
Romania,Valea Lui Mihai,1,Good
Sweden,Vallentuna,0,Good
Brazil,Varzea Alegre,0,Good
Brazil,Varzea Da Palma,1,Good
Hungary,Vecses,1,Good
Brazil,Vicosa Do Ceara,1,Good
Romania,Videle,1,Good
United Kingdom of Great Britain and Northern Ireland,Wellingborough,0,Good
United States of America,Wenatchee,1,Good
Ghana,Wenchi,1,Good
China,Wenshang,3,Good
Unknown,West Bay,1,Good
United Kingdom of Great Britain and Northern Ireland,West Bridgeford,0,Good
United States of America,West Orange,1,Good
United States of America,West Warwick,1,Good
United Kingdom of Great Britain and Northern Ireland,Whitley Bay,0,Good
Poland,Wolow,1,Good
United States of America,Woodmere,2,Good
United Kingdom of Great Britain and Northern Ireland,Wrexham,0,Good
China,Xiangfan,3,Good
China,Xichang,1,Good
China,Xuanhua,1,Good
Japan,Yaita,1,Good
Turkey,Yakuplu,1,Good
Viet Nam,Viet Tri,2,Good
Spain,Vilanova Del Cami,1,Good
Guatemala,Villa Canales,4,Good
Italy,Villabate,1,Good
Chile,Vina Del Mar,3,Good
Italy,Vinci,1,Good
France,Vitry Le Francois,1,Good
Serbia,Vlasotince,1,Good
Italy,Volpiano,1,Good
Russian Federation,Vorkuta,1,Good
Switzerland,Wadenswil,1,Good
Unknown,Wakkanai,1,Good
China,Wangkui,3,Good
India,Wankaner,0,Good
Germany,Weimar,1,Good
Iran (Islamic Republic of),Torbat E Jam,1,Good
Mexico,Torreon,1,Good
Australia,Townsville,0,Good
Italy,Tradate,1,Good
Thailand,Trat,0,Good
Austria,Traun,1,Good
Italy,Tricase,1,Good
United States of America,Tumwater,1,Good
Brazil,Tupa,1,Good
India,Turuvekere,0,Good
India,Udalguri,2,Good
China,Yongzhou,4,Good
Russian Federation,Zainsk,1,Good
Russian Federation,Zapolyarnyy,1,Good
Poland,Zdzieszowice,1,Good
Russian Federation,Zelenchukskaya,1,Good
China,Zhoucun,2,Good
Germany,Zschopau,0,Good
Netherlands,Zutphen,1,Good
Ukraine,Zvenyhorodka,1,Good
Republic of Moldova,Soroca,1,Good
Russian Federation,Sosnogorsk,1,Good
United States of America,South Yarmouth,1,Good
United States of America,Southbury,3,Good
Russian Federation,Sovetskiy,1,Good
United States of America,Spanish Lake,1,Good
India,Srinagar,1,Good
Germany,Stade,0,Good
Ukraine,Starokostyantyniv,1,Good
Romania,Stefanesti,1,Good
Ukraine,Sudak,1,Good
Egypt,Suez,1,Good
China,Sujiatun,4,Good
Peru,Sullana,1,Good
United States of America,San Angelo,1,Good
Unknown,San Benedetto Del Tronto,1,Good
Italy,San Cataldo,1,Good
Italy,San Giovanni Rotondo,1,Good
Philippines,San Pedro,1,Good
India,Sanchor,0,Good
China,Sanhsia,1,Good
Brazil,Santa Helena,0,Good
Portugal,Santo Tirso,1,Good
Unknown,Sao Francisco Do Sul,1,Good
Brazil,Sao Goncalo,9,Good
India,Rudarpur,3,Good
Pakistan,Sahiwal,3,Good
United States of America,Saint Louis,2,Good
France,Saint Omer,1,Good
France,Sainte Maxime,1,Good
Indonesia,Salatiga,2,Good
Belarus,Salihorsk,1,Good
Italy,Salsomaggiore Terme,1,Good
India,Samba,3,Good
Botswana,Ramotswa,2,Good
India,Rapar,0,Good
Iran (Islamic Republic of),Rasht,1,Good
Germany,Ratingen,1,Good
India,Razam,3,Good
Switzerland,Regensdorf,1,Good
Germany,Regenstauf,1,Good
Canada,Regina,1,Good
Germany,Remagen,1,Good
Brazil,Resende,1,Good
United States of America,Richmond West,1,Good
United States of America,Ridgeland,3,Good
Germany,Rinteln,1,Good
Argentina,Rio Cuarto,0,Good
United States of America,Rocky Mount,1,Good
United States of America,Rocky River,2,Good
Netherlands,Roermond,1,Good
Romania,Roman,1,Good
United States of America,Rossville,1,Good
Germany,Roth,1,Good
Russian Federation,Roza,1,Good
United Republic of Tanzania,Rujewa,0,Good
Germany,Sassenberg,2,Good
India,Sattenapalle,1,Good
Saudi Arabia,Sayhat,1,Good
Germany,Schmallenberg,1,Good
Russian Federation,Segezha,1,Good
Russian Federation,Selyatino,1,Good
India,Semaria,3,Good
Slovakia,Senec,1,Good
Indonesia,Sepatan,5,Good
France,Septemes Les Vallons,1,Good
Russian Federation,Serdobsk,1,Good
United States of America,Severna Park,1,Good
Italy,Sarno,1,Good
Kazakhstan,Saryagash,1,Good
India,Sasvad,0,Good
Romania,Satu Mare,1,Good
India,Sausar,1,Good
France,Savigny Le Temple,1,Good
Germany,Schwandorf,1,Good
Germany,Schwarzenbek,0,Good
Brazil,Senador Pompeu,1,Good
Zambia,Senanga,2,Good
Brazil,Serrana,1,Good
United Kingdom of Great Britain and Northern Ireland,Sevenoaks,0,Good
France,Seynod,2,Good
India,Shajapur,1,Good
Ghana,Shama,1,Good
Russian Federation,Abdulino,1,Good
Saudi Arabia,Abha,1,Good
Ethiopia,Abomsa,1,Good
United Arab Emirates,Abu Dhabi,2,Good
Mexico,Acajete,5,Good
Mexico,Acayucan,3,Good
Nicaragua,Acoyapa,1,Good
United States of America,Addison,1,Good
India,Aduturai,1,Good
Turkey,Afsin,0,Good
United States of America,Agoura Hills,1,Good
Colombia,Agua De Dios,3,Good
Colombia,Aguachica,4,Good
Mexico,Ajalpan,2,Good
United States of America,Alamo,2,Good
United States of America,Albemarle,2,Good
Spain,Albolote,1,Good
France,Ales,1,Good
Algeria,Algiers,10,Good
India,Arvi,1,Good
Nigeria,Asaba,3,Good
India,Aska,3,Good
Italy,Assisi,1,Good
India,Babina,2,Good
Venezuela (Bolivarian Republic of),Bachaquero,1,Good
Germany,Bad Lauterberg,1,Good
Germany,Bad Schwartau,1,Good
Italy,Badia Polesine,1,Good
Cameroon,Bafoussam,3,Good
India,Bagasara,1,Good
Brazil,Bage,0,Good
India,Bagli,1,Good
Canada,Amherstburg,1,Good
Switzerland,Amriswil,1,Good
Unknown,Anacortes,1,Good
Sweden,Angelholm,1,Good
China,Ankang,2,Good
Pakistan,Arifwala,3,Good
Spain,Alora,1,Good
United States of America,Alpine,5,Good
United States of America,Apex,2,Good
Brazil,Araucaria,1,Good
United States of America,Arcata,1,Good
Italy,Arese,1,Good
Niger,Arlit,1,Good
Tajikistan,Asht,1,Good
Angola,Ondjiva,0,Good
Nigeria,Opobo,4,Good
Finland,Orimattila,1,Good
Italy,Orzinuovi,1,Good
Poland,Ostrow Mazowiecka,1,Good
Japan,Otsuchi,2,Good
Peru,Otuzco,1,Good
United Kingdom of Great Britain and Northern Ireland,Paignton,1,Good
Italy,Palagiano,1,Good
United States of America,Palo Alto,1,Good
South Africa,Pampierstad,3,Good
Indonesia,Pamulang,5,Good
Indonesia,Pandaan,3,Good
India,Pandavapura,1,Good
India,Pandharpur,1,Good
Mexico,Panotla,3,Good
India,Paravur,1,Good
Canada,Parksville,1,Good
United States of America,Parlier,1,Good
Brazil,Parnamirim,0,Good
Estonia,Parnu,1,Good
United States of America,Parole,1,Good
Indonesia,Parung,4,Good
India,Parvatipuram,2,Good
India,Pathardih,3,Good
Italy,Patti,1,Good
Guatemala,Patulul,4,Good
India,Phaphund,4,Good
United States of America,Payson,1,Good
Brazil,Pedreira,1,Good
Portugal,Pedroucos,1,Good
China,Peking,3,Good
Sri Lanka,Peliyagoda,0,Good
India,Baindur,0,Good
Spain,Balaguer,1,Good
Kazakhstan,Balykshi,1,Good
Thailand,Ban Bung,0,Good
Indonesia,Banjar,1,Good
Unknown,Banjul,1,Good
India,Bapatla,1,Good
Portugal,Barcarena,1,Good
India,Bargarh,2,Good
Brazil,Barra Do Pirai,6,Good
Colombia,Barrancabermeja,2,Good
Ukraine,Basarabeasca,1,Good
United Kingdom of Great Britain and Northern Ireland,Batley,1,Good
Latvia,Bauska,1,Good
Russian Federation,Bazarnyy Karabulak,1,Good
United States of America,Beecher,1,Good
United States of America,Berkley,2,Good
United Kingdom of Great Britain and Northern Ireland,Bexhill,1,Good
India,Bhanvad,0,Good
India,Bharuch,1,Good
India,Bhiwani,3,Good
India,Biaora,1,Good
United Kingdom of Great Britain and Northern Ireland,Bicester,1,Good
India,Bidar,1,Good
Switzerland,Biel,1,Good
Poland,Bilgoraj,1,Good
Côte d'Ivoire,Bingerville,1,Good
United States of America,Brooklyn Center,1,Good
Germany,Bruggen,1,Good
Germany,Bruhl,1,Good
France,Bry Sur Marne,3,Good
Hungary,Budakeszi,1,Good
Colombia,Buenaventura,1,Good
Turkey,Burhaniye,1,Good
United Kingdom of Great Britain and Northern Ireland,Burntwood,1,Good
Mexico,Cabo San Lucas,1,Good
Angola,Caconda,0,Good
Italy,Calderara Di Reno,1,Good
Cuba,Camajuani,1,Good
Cuba,Campechuela,1,Good
Mexico,Canatlan,1,Good
Canada,Canmore,1,Good
Italy,Carate Brianza,1,Good
Brazil,Caratinga,1,Good
Brazil,Carmo Do Cajuru,1,Good
Italy,Casalnuovo Di Napoli,2,Good
Spain,Castelldefels,1,Good
Italy,Cave,1,Good
France,Cayenne,0,Good
Italy,Cazzago San Martino,1,Good
United States of America,Centralia,2,Good
Albania,Cerrik,1,Good
Italy,Cervignano Del Friuli,1,Good
Czechia,Ceska Lipa,1,Good
El Salvador,Chalchuapa,3,Good
India,Challapalle,1,Good
Russian Federation,Chaltyr,1,Good
Czechia,Blansko,1,Good
Germany,Blieskastel,2,Good
Indonesia,Bogor,4,Good
Brazil,Borborema,1,Good
Russian Federation,Borzya,1,Good
Bosnia and Herzegovina,Bosanska Gradiska,1,Good
Côte d'Ivoire,Botro,1,Good
France,Bourg La Reine,3,Good
United States of America,Bowling Green,2,Good
Germany,Bremen,1,Good
Germany,Bremerhaven,1,Good
Central African Republic,Bria,2,Good
Germany,Brilon,1,Good
India,Napasar,1,Good
India,Narasaraopet,1,Good
India,Narsimhapur,1,Good
Pakistan,Naushahro Firoz,1,Good
Spain,Navalmoral De La Mata,1,Good
Russian Federation,Navashino,1,Good
Japan,Nayoro,1,Good
New Zealand,Nelson,0,Good
India,Nepa Nagar,1,Good
Russian Federation,Nerekhta,1,Good
France,Nevers,1,Good
Philippines,New Visayas,1,Good
Unknown,New York,2,Good
United States of America,Newnan,3,Good
United Republic of Tanzania,Ngerengere,0,Good
Niger,Niamey,2,Good
Malaysia,Nibong Tebal,1,Good
South Africa,Nigel,10,Good
Japan,Niimi,1,Good
India,Nilanga,1,Good
Russian Federation,Nizhniy Novgorod,1,Good
Russian Federation,Nogliki,1,Good
Thailand,Nong Chik,1,Good
Thailand,Nonthaburi,1,Good
Philippines,Norala,1,Good
Germany,Nordstemmen,1,Good
United States of America,Norfolk,1,Good
United States of America,North Bellmore,2,Good
United States of America,North Valley Stream,2,Good
Serbia,Novi Pazar,1,Good
Russian Federation,Novoaleksandrovsk,1,Good
Czechia,Novy Jicin,1,Good
Uruguay,Nueva Helvecia,0,Good
United Kingdom of Great Britain and Northern Ireland,Nuneaton,1,Good
Japan,Obanazawa,1,Good
Russian Federation,Oktyabrsk,1,Good
Russian Federation,Oktyabrskiy,1,Good
Peru,Morropon,1,Good
Greece,Moskhaton,2,Good
India,Mount Abu,1,Good
Russian Federation,Mozdok,1,Good
Russian Federation,Mozhga,1,Good
India,Muddebihal,1,Good
United Republic of Tanzania,Muheza,0,Good
Zambia,Mumbwa,2,Good
India,Mundgod,1,Good
Indonesia,Muntilan,1,Good
Russian Federation,Murom,1,Good
India,Murshidabad,2,Good
Switzerland,Muttenz,1,Good
India,Muttupet,1,Good
United Republic of Tanzania,Mvomero,1,Good
Tunisia,Naftah,1,Good
Japan,Namie,1,Good
France,Nancy,1,Good
India,Nangal,3,Good
France,Chaumont,1,Good
Russian Federation,Chernyshevsk,1,Good
France,Chevilly Larue,2,Good
United States of America,Chicago Ridge,2,Good
United States of America,Chico,1,Good
India,Chikmagalur,0,Good
Japan,Chiryu,2,Good
India,Chittaurgarh,1,Good
Zambia,Choma,1,Good
Peru,Chosica,9,Good
India,Churhat,2,Good
United States of America,Cicero,2,Good
Indonesia,Ciparay,2,Good
Italy,Ciro Marina,1,Good
France,Claye Souilly,1,Good
United States of America,Commerce City,1,Good
Belgium,Aarschot,1,Good
Japan,Abashiri,1,Good
United States of America,Abington,2,Good
Sudan,Abu Zabad,2,Good
Italy,Adrano,1,Good
Germany,Aerzen,1,Good
United States of America,Agawam,2,Good
Italy,Agliana,1,Good
India,Akalkot,0,Good
Unknown,Akcakoca,1,Good
Turkmenistan,Akdepe,1,Good
Turkey,Akhisar,1,Good
United States of America,Albany,1,Good
United States of America,Albuquerque,1,Good
Spain,Alcala La Real,1,Good
Unknown,Alcudia,1,Good
Germany,Alfter,1,Good
Portugal,Alges,1,Good
Uzbekistan,Almazar,1,Good
Portugal,Canecas,1,Good
United States of America,Canyon Lake,2,Good
Italy,Cardito,1,Good
Italy,Casale Monferrato,2,Good
Peru,Casma,0,Good
Italy,Castellaneta,1,Good
Italy,Castiglione Delle Stiviere,2,Good
Chile,Castro,0,Good
Peru,Catacaos,1,Good
United States of America,Catonsville,1,Good
Italy,Ceglie Messapica,1,Good
United States of America,Celina,1,Good
Italy,Cerreto Guidi,1,Good
United Republic of Tanzania,Chala,0,Good
Pakistan,Chambar,1,Good
United States of America,Champaign,1,Good
Mauritius,Baie Du Tombeau,0,Good
China,Baisha,3,Good
United States of America,Baker,1,Good
Russian Federation,Balashikha,4,Good
United States of America,Ballwin,1,Good
Malaysia,Bandar Maharani,1,Good
Thailand,Bang Kruai,1,Good
Thailand,Bang Len,1,Good
Brazil,Barueri,6,Good
Ukraine,Bashtanka,1,Good
Italy,Bassano Del Grappa,2,Good
Sri Lanka,Battaramulla,0,Good
United States of America,Bayonne,3,Good
Russian Federation,Bazhovo,1,Good
Malaysia,Beaufort,6,Good
United States of America,Broomfield,1,Good
Czechia,Bruntal,1,Good
Germany,Budingen,1,Good
Philippines,Buenlag,0,Good
Romania,Buftea,1,Good
Romania,Bumbesti Jiu,1,Good
United Kingdom of Great Britain and Northern Ireland,Burnley,1,Good
Germany,Burstadt,1,Good
Russian Federation,Buzuluk,1,Good
Viet Nam,Ca Mau,1,Good
Philippines,Cabayangan,0,Good
Brazil,Cabo Frio,1,Good
Philippines,Cadiz,1,Good
Brazil,Caieiras,6,Good
Peru,Cajabamba,1,Good
Brazil,Camaqua,1,Good
Brazil,Camaragibe,0,Good
United States of America,Camarillo,2,Good
United Kingdom of Great Britain and Northern Ireland,Cambridge,1,Good
Brazil,Campo Formoso,0,Good
Guatemala,Colomba,3,Good
Brazil,Conselheiro Pena,1,Good
Chile,Coquimbo,0,Good
Romania,Costesti,1,Good
Germany,Crailsheim,1,Good
Italy,Crispiano,1,Good
Brazil,Cruzeiro Do Oeste,1,Good
Venezuela (Bolivarian Republic of),Cua,1,Good
Dominican Republic,Dajabon,3,Good
United States of America,Teaneck,1,Good
Indonesia,Tegal,4,Good
India,Tekanpur,4,Good
Kazakhstan,Tekeli,1,Good
Brazil,Terra Boa,1,Good
Mexico,Texcoco,5,Good
Pakistan,Thatta,1,Good
Colombia,Tibu,1,Good
Brazil,Timbauba,0,Good
Guatemala,Tiquisate,2,Good
India,Tiruchchirappalli,3,Good
Unknown,Titusville,1,Good
Mexico,Tlaxcoapan,1,Good
Unknown,Togitsu,1,Good
Japan,Tokyo,1,Good
Japan,Tomioka,2,Good
Spain,Torremolinos,1,Good
China,Toufen,5,Good
Italy,Triggiano,1,Good
Madagascar,Tsihombe,0,Good
Indonesia,Tuban,1,Good
Mexico,Tultitlan,2,Good
China,Tungkang,1,Good
India,Tuni,3,Good
Brazil,Tupi Paulista,1,Good
India,Tura,2,Good
Belgium,Turnhout,1,Good
Germany,Uelzen,1,Good
United Republic of Tanzania,Uvinza,1,Good
Latvia,Valga,1,Good
India,Varangaon,2,Good
Brazil,Vargem Grande,0,Good
Serbia,Velika Plana,1,Good
Unknown,Velsen,1,Good
Netherlands,Venlo,1,Good
Mexico,Venustiano Carranza,1,Good
Argentina,Viedma,0,Good
Russian Federation,Engels,1,Good
United States of America,Enid,1,Good
India,Erattupetta,2,Good
Kazakhstan,Esil,1,Good
Brazil,Esperanca,0,Good
Brazil,Espinosa,0,Good
Peru,Eten,0,Good
United States of America,Excelsior Springs,1,Good
United Kingdom of Great Britain and Northern Ireland,Falkirk,1,Good
China,Fengxian,6,Good
United States of America,Ferry Pass,2,Good
Madagascar,Fianarantsoa,1,Good
Ethiopia,Fiche,1,Good
Italy,Foggia,1,Good
France,Fontenay Sous Bois,1,Good
Cameroon,Foumban,1,Good
United States of America,Fountain Valley,2,Good
United States of America,Franklin,1,Good
Japan,Fukiage,2,Good
Japan,Fukue,1,Good
United States of America,Galion,1,Good
China,Gaozhou,3,Good
Burkina Faso,Garango,1,Good
France,Garches,1,Good
United States of America,Garden City,1,Good
United States of America,Gardena,3,Good
Brazil,Garibaldi,0,Good
Colombia,Garzon,1,Good
Indonesia,Gebog,5,Good
Belgium,Gembloux,1,Good
Netherlands,Gendringen,1,Good
Russian Federation,Georgievsk,1,Good
India,Ghazipur,4,Good
Philippines,Dalipuga,1,Good
Poland,Darlowo,1,Good
India,Daund,2,Good
United States of America,Delray Beach,1,Good
United States of America,Derby,1,Good
Brazil,Descalvado,1,Good
Nepal,Dharan,3,Good
India,Dhaulpur,4,Good
India,Dhrangadhra,1,Good
Netherlands,Diemen,0,Good
Belgium,Diest,1,Good
Germany,Dietzenbach,1,Good
Unknown,Dinard,1,Good
United Republic of Tanzania,Dodoma,0,Good
Italy,Domodossola,1,Good
Brazil,Dracena,1,Good
Norway,Drobak,1,Good
United States of America,Dublin,1,Good
Belgium,Duffel,1,Good
United Kingdom of Great Britain and Northern Ireland,Dundee,1,Good
United States of America,Eagan,1,Good
United States of America,East Brainerd,1,Good
United States of America,East Hartford,1,Good
Japan,Ebina,1,Good
United Kingdom of Great Britain and Northern Ireland,Eccles,1,Good
Germany,Edewecht,1,Good
Germany,Edingen Neckarhausen,1,Good
Spain,El Ejido,1,Good
Mexico,El Mante,1,Good
Honduras,El Paraiso,1,Good
Honduras,El Progreso,1,Good
Spain,El Vendrell,1,Good
Russian Federation,Elban,15,Good
Lithuania,Elektrenai,1,Good
Ghana,Elmina,0,Good
Kazakhstan,Emba,1,Good
Germany,Rothenbach,1,Good
United States of America,Round Rock,0,Good
United States of America,Rubidoux,3,Good
Germany,Ruthen,1,Good
India,Sadri,1,Good
Russian Federation,Safonovo,1,Good
Russian Federation,Sagopshi,1,Good
France,Saint Malo,1,Good
Pakistan,Sakrand,1,Good
Canada,Salaberry De Valleyfield,1,Good
Italy,Salemi,1,Good
Brazil,Salgueiro,0,Good
Russian Federation,Samara,1,Good
India,Sambalpur,2,Good
India,Sambhal,5,Good
India,Sonamura,3,Good
Denmark,Sonderborg,1,Good
Germany,Spaichingen,1,Good
United States of America,Spencer,1,Good
Unknown,Split,1,Good
Netherlands,Stadskanaal,0,Good
Uzbekistan,Stantsiya Gorchakovo,1,Good
United States of America,Statesville,1,Good
Germany,Stein,1,Good
Russian Federation,Stroitel,1,Good
Republic of North Macedonia,Strumica,1,Good
Spain,Sueca,1,Good
Japan,Sugito,1,Good
India,Sumbal,3,Good
Japan,Sumoto,2,Good
